297,225,0,-0.55
95,29,-0.75,0.25
301,230,0.05,-0.6
297,20,-0.8,-0.6
72,223,0.05,0.3
69,28,-0.8,0.3
306,230,0.05,-0.6
302,213,-0.14,-0.6
303,196,-0.25,-0.6
303,156,-0.36,-0.6
304,128,-0.44,-0.6
304,87,-0.55,-0.6
304,59,-0.65,-0.6
303,25,-0.75,-0.6
294,230,0.03,-0.5
288,211,-0.13,-0.5
291,184,-0.26,-0.5
291,142,-0.37,-0.5
291,114,-0.47,-0.5
291,72,-0.57,-0.5
291,36,-0.72,-0.5
292,14,-0.81,-0.5
258,230,0.05,-0.4
250,211,-0.13,-0.4
253,197,-0.23,-0.4
259,156,-0.39,-0.4
260,128,-0.49,-0.4
261,86,-0.58,-0.4
262,44,-0.72,-0.4
259,19,-0.79,-0.4
229,230,0.01,-0.3
219,211,-0.16,-0.3
223,184,-0.32,-0.3
226,142,-0.39,-0.3
230,114,-0.48,-0.3
233,86,-0.55,-0.3
233,34,-0.71,-0.3
231,19,-0.79,-0.3
203,230,0.04,-0.2
187,211,-0.19,-0.2
190,183,-0.28,-0.2
192,143,-0.42,-0.2
196,102,-0.52,-0.2
201,72,-0.63,-0.2
205,34,-0.73,-0.2
204,14,-0.83,-0.2
176,230,0.04,-0.1
161,207,-0.15,-0.1
161,173,-0.25,-0.1
163,132,-0.35,-0.1
155,112,-0.47,-0.1
158,69,-0.55,-0.1
159,50,-0.65,-0.1
171,20,-0.8,-0.1
150,230,0.05,0
142,207,-0.1,0
141,172,-0.2,0
139,141,-0.3,0
134,110,-0.4,0
134,66,-0.5,0
129,18,-0.6,0
113,33,-0.75,0
125,234,0.04,0.1
117,216,-0.12,0.1
113,190,-0.22,0.1
111,163,-0.31,0.1
107,136,-0.41,0.1
103,95,-0.52,0.1
95,75,-0.61,0.1
101,42,-0.77,0.1
112,234,0.02,0.2
106,217,-0.12,0.2
103,193,-0.22,0.2
102,166,-0.31,0.2
94,143,-0.48,0.2
